Date,videoId,authorId,Username,Link,Description,Hashtags,musicAuthorName,musicTitle ,musicId,concatenated_stickerText,Code,Field Notes
2024-01-28,7329152254668246274,6719395568647685126,haterslovebru,https://www.tiktok.com/@6719395568647685126/video/7329152254668246274,"Announcements pertaining to remote employment opportunities, predominantly in administrative roles, chat support, and vacation planning (tourism agency), accompanied by an invitation to remain engaged for updates.",#remote #remotework #Remote #workfromhome #workfromhomejobs #digitalnomad #laptoplifestyle #jobs #jobsearch,JID,Surround Sound,7229502909632464897,,"DR-PSC, CA-TC, CA-PC",Platform-Specific Content: Video tailored for digital nomad audience. Tourism and Commerce: Content promotes travel to specific locations. Promotional Content: Video includes sponsored or promotional material. 
2024-01-19,7325785853270183175,6572497742231568386,teeeseych,https://www.tiktok.com/@6572497742231568386/video/7325785853270183175,"Video logs documenting a visit to Yunnan, China, capture the scenic beauty of the province and the plethora of experiences garnered. Contrasting the visual splendor and the richness of memories, the accompanying music lyrically expresses a sentiment of solitude with the phrase, ""Yeah, I am so lonely""",#china #yunnan #solotravel #careerbreak #digitalnomad #dali #lijiang #shangrila #tengchong #kunming #tiktoksg #travelsg,Ryan.B & effie,No Reason,7246882745191090986,,"DR-VS, CA-TC, TA-VA",Visual Storytelling: Content emphasizes visual appeal of locations. Tourism and Commerce: Content promotes travel to specific locations. Visual-aural primacy: Video emphasizes visual or audio elements. 
2024-01-17,7324883208091340040,7195805585157686273,christhefreelancer,https://www.tiktok.com/@7195805585157686273/video/7324883208091340040,"A know american DN influencer, old school, shows up how much notes you need in Argentina to pay for the restaurant bil, the video shows the inflation and precarious situation the local currency. But also the attitude of a welsier American who does not care how much notes he is putting on the table.",#buenosaires #argentina #digitalnomad,Chris | Digital Nomad,original sound,6927236123995408386,['POV: When you take your date to a nice restaurant in Argentina'],,
2024-01-16,7324782999591980321,6833777550712865798,soymicalopez,https://www.tiktok.com/@6833777550712865798/video/7324782999591980321,The video showcases a female vlogger promoting her book on transitioning to remote work. She stresses the importance of discovering one's purpose and selecting remote employment that resonates with this purpose. She implies an approach to center personal objectives and interests around remote work to achive meaningful and fulfilling professional life,#freelancer #trabajoremoto #nomadadigital #remotework #freelance #digitalnomad #trabajoremoto🖥️ #trabajoremotoenespañol #emigrar #emigrardelatinoamerica,Mica López | 👩🏻‍💻✈️,original sound,7225253891838167810,"['👩🏻\u200d💻Que es lo que yo haría hoy si empezaría de cero trabajando remoto \U0001f979'], ['Empezar a trabajar remoto: GUÍA 👩🏻\u200d💻'], ['👩🏻\u200d💻Que es lo que yo haría hoy si empezaría de cero trabajando remoto \U0001f979'], ['Empezar a trabajar remoto: GUÍA 👩🏻\u200d💻']","DR-PSC, ET-SD, ET-PM",Platform-Specific Content: Video tailored for digital nomad audience. Self-Discovery: Content focuses on personal exploration and discovery. Purpose and Meaning: Video discusses finding purpose in life or work. 
2024-01-16,7324793317743529218,6936292563263931393,nicbalz,https://www.tiktok.com/@6936292563263931393/video/7324793317743529218,"A Filipino vlogger shares his journey of facing multiple job rejections, which eventually steered him towards self-employment. Overcoming these challenges, he achieved success, demonstrated by the purchase of a new house and a car for his family. ",#pinoyfreelancer #digitalnomadlife #digitalnomad #freelancing #freelancer #pinoyinspain #freelancingjourney #virtualassistant #virtualassistantjourney #pinoyvirtualassistant #teacher #languageassistant #redirection,TONEEJAY,711 by TONEEJAY Acoustic,7066849701269605166,,TA-RL,Relatability: Content aims to be relatable or participates in challenges. 
2024-01-15,7324350298070338858,6732655693700891654,paulylong,https://www.tiktok.com/@6732655693700891654/video/7324350298070338858,"The American guy talks about his in-house gym in Bali and all the amenities that come with this relatively cheap accommodation by American standards, including an outdoor pool and sauna. He mentions the lack of segregation in the ""tourist"" area compared to poorer areas of California, advising viewers to ""figure out"" how to make an extra $3,000-5,000 a month online and bounce around. The main claim is that the living standard in the tourist area of Bali is much better compared to America.",#personalbrand #personalbranding #bali #american #livingabroad #livinginbali #digitalnomad #luxury #luxurylife #lifeisgood #qualityoflife #costofliving #travel #travelvlog #fyp #viral,NARU,Lofi Hiphop Relax in a dream(861056),7247282412667947822,['What you can have in Bali'],CA-PC,Promotional Content: Video includes sponsored or promotional material. 
2024-01-15,7324439734401453345,6805090086267487238,carladomenechp,https://www.tiktok.com/@6805090086267487238/video/7324439734401453345,"Female vloger showcase herself back-packing solo with two huge bags, walking through the aiport, sitting in the airplane and drinking coffee. She is filming the skies outside the airplane and declaring that she is going to travel for one month now.",#viajar #viaje #solotravel #digitalnomad #viajesentiktok,Haziel 💋,sonido original,7030869625303517186,"['Si tienes el valor de subirte sola a un avión', 'Créeme eres \ncapaz de todo🦋']",,
2024-01-14,7324107459113553158,6892096283844068353,gerardoveramx,https://www.tiktok.com/@6892096283844068353/video/7324107459113553158,"The creator addresses the camera, stating that the news about the Mexican government, under President Andrés Manuel López Obrador, requiring visas from American tourists and deporting American digital nomads living irregularly in Mexico is false. Currently, Mexico does not require visas from citizens of the U.S., Canada, Japan, the Schengen area, the UK, and the Pacific Alliance countries (Chile, Peru, Colombia). Despite rumors, there is no law or bill proposing visa requirements or mass deportations. While Mexico has made visa changes for air transit passengers, these do not affect citizens from countries exempt from visa requirements. The issue of digital nomads has been acknowledged by López Obrador, highlighting challenges like service and housing price increases, and gentrification in cities like Mérida, Oaxaca, and Mexico City. The video suggests a need for greater regulation of digital nomads to prevent negative impacts on local residents without deterring investment, emphasizing the importance of hospitality towards tourists and foreigners while cautioning against the harmful effects of misinformation on tourism and public perception.
",#Visas #Turismo #gentrificacion #nomadasdigitales #turistas #AMLO #MORENA #FakeNews #Viral #Fyp #aprendeentiktok #foryoupage #makemefamous #tourism #politica #digitalnomad #parati #Mexico #méxico #gringos #gerardovera #4T #gentrificacionmexico #Oaxaca #Merida #CDMX #LaRoma #LaCondesa,beaty,Beat,7240883973671389957,"['¿MÉXICO PEDIRÁ VISA A ESTADOUNIDENSES?', 'Deportación masiva 👋🏻', 'Nómadas digitales 💻', 'Sin visa \U0001faaa', '🇨🇦\n🇺🇸\n🇯🇵\n🇪🇺\n🇬🇧', '🇵🇪🇨🇱🇨🇴', 'No existe ley 📑', 'Aumento del costo de vida 💸', '• Mérida\n• Oaxaca \n• CDMX'], ['Visas a turistas gringos 🇺🇸🇲🇽']","CA-TC, CA-PC, TA-RL",Tourism and Commerce: Content promotes travel to specific locations. Promotional Content: Video includes sponsored or promotional material. Relatability: Content aims to be relatable or participates in challenges. 
2024-01-14,7323768697330421024,6859060053544420358,daisystraveldiaries,https://www.tiktok.com/@6859060053544420358/video/7323768697330421024,"he girl recounts her experience of ending up alone on a coconut boat during a solo trip to Vietnam. As a digital nomad accustomed to working from hotels or private rooms, she no longer opts for dormitory accommodations, preferring privacy for her work during the day or evening. Enthusiastically signing up for a coconut boat trip and cooking class to engage in a communal activity, she found herself single on a two-person boat as others had already paired up. Initially indifferent to being alone, she sensed pity from the couples around her. However, the situation quickly turned joyful as she and her boatman, despite the language barrier, shared continuous laughter, even involving his friends in their amusement. Following the boat adventure, the cooking class offered an opportunity for social interaction, where she met a variety of interesting individuals. She concludes by encouraging her audience to embrace solo travel, engage with locals, and enjoy spontaneous moments of fun. Additionally, she mentions her upcoming group trips to Nepal and Thailand, inviting others to join her for an experience filled with laughter and camaraderie.",#digitalnomad #solotravel #locationindependent #travelgirlsgo #digitalnomadgirls,Nicki Minaj,FTCU,7248690535024560901,"['POV: you’re the only solo one on your tour so have to ride the coconut boat alone 😢', 'THANK GOODNESS!', 'You ended up having more fun than anyone else & making a new best mate 😆', 'Your sign that solo travel is not lonely or boring SO BOOK THAT TRIP BEBEH!', 'Follow for more adventures in my next country: Sri Lanka!']","CA-PC, HE-SA, HE-SE",Promotional Content: Video includes sponsored or promotional material. Sport Activities: Video showcases sports or adventure activities. Shared Experiences & Bonding: Video depicts social interactions and community. 
2024-01-06,7320830673466526981,7139851158186116122,indonesianwithlauren,https://www.tiktok.com/@7139851158186116122/video/7320830673466526981,"Female vlogger explains new slang, such as the Indonesian term ""bjir,"" sharing the origin and meaning of the word, which includes profanity or informal language. She offers cultural insights or linguistic nuances that enrich the understanding of the local context for DN living in or visiting Indonesia, bridging cultural gaps.",#indonesianlesson #indonesianteacher #bahasaindonesia #belajarbahasaindonesia #learnindonesian #learnbahasa #learnbahasaindonesia #language #languagelearning #languagecourse #education #bilingual #indonesiaexpat #expat #digitalnomad #bali #jakarta #indonesia #asia #southeastasia #indonesianculture #slang,Indonesian with Lauren,original sound - Indonesian with Lauren,7187093460854360838,,"CA-TC, ET-PM",Tourism and Commerce: Content promotes travel to specific locations. Purpose and Meaning: Video discusses finding purpose in life or work. 
